document_id,subject_str,subject_id,subject_type,predicate_org,predicate,object_str,object_id,object_type,text
51079,models,http://www.wikidata.org/entity/Q1630100,Profession,exist for,exist for,magnet,http://www.wikidata.org/entity/Q6731415,Person,Two different models exist for magnets : magnetic poles and atomic currents .
32162618,brown,Brown,PERSON,returned as,return as,manager,http://www.wikidata.org/entity/Q628099,Profession,"In 1961 , Brown returned to DuPont 's Savannah River Laboratory as manager of basic physics and applied mathematics ."
1896765,griffith,Griffith,ORG,foreshadowed,foreshadow,world war i,World War I,EVENT,Griffith 's stories foreshadowed World War I and foretold a utopian communist revolution in the United States .
22152236,kammen,Kammen,GPE,is noted as,be note as,change,http://www.wikidata.org/entity/Q5071694,Language,"Kammen is noted as a coordinating lead author for the Intergovernmental Panel on Climate Change , which won the 2007 Nobel Peace Prize for their report , "" Climate Change 2007 "" , assessing man - made global warming ."
65277090,directors,http://www.wikidata.org/entity/Q3455803,Profession,letter to,letter to,ambassador,http://www.wikidata.org/entity/Q121998,Profession,"He was released on 18 January 2015 , after the directors of Euroscience addressed a letter of concern to the then Israeli ambassador to France , Yossi Gal , stating that in the absence of public evidence , the group considered his detention as a serious infringement of academic freedom ."
1832132,ghostbusters,Ghostbusters,ORG,working proton pack in,work proton pack in,ghostbusters,Ghostbusters,WORK_OF_ART,"The Ghostbusters in "" Extreme Ghostbusters "" keep a statue of Peter Venkman , complete with uniform and working original Proton Pack , in the Ghostbusters Firehouse ."
1980551,doctor,http://www.wikidata.org/entity/Q34358,Person,was also influenced 's,be also influence 's,doctor,Doctor,WORK_OF_ART,"Smith has also stated that his Doctor costume , in particular the bow - tie , was also influenced by the Second Doctor 's , after Smith cited the Troughton story "" The Tomb of the Cybermen "" as a favourite story ."
11490381,hebrew,http://www.wikidata.org/entity/Q9288,Language,jewish question in,jewish question in,russia,http://www.wikidata.org/entity/Q159,Country,"The following is a list of his more important works : Russian : "" The Organic Life of the Language "" ( 1871 ) , published in the "" Viestnik Yevropy "" ; "" Grammar of the Hebrew Language "" ( Wilna , 1871 ) ; "" Book of Exercises in the Chaldean Language "" ( 1875 ) ; "" Complete Russian - Hebrew Dictionary "" ( 1880 ) ; "" Hebrew and Chaldean Dictionary of the Bible , "" awarded a prize by the Holy Synod ; "" The Jewish Question in Russia "" ( 1882 ) ; "" Complete Russian - Hebrew - German Dictionary "" ( 1888 ) , seventeen editions ; "" The World and Life , "" two editions ; "" Count Muraviev and His Relations to the Jews of the Northwestern Parts of Russia "" ( 1889 ) ; "" The Five Books of Moses , "" with commentary ."
7713110,griff,Griff,PERSON,are mascots for,be mascot for,university,University,ORG,"Griffins are also mascots for VU University Amsterdam , Reed College , Sarah Lawrence College , the University of Guelph , and Canisius College ."
62775136,aleksandr aleksandrovich blagonravov,Aleksandr Aleksandrovich Blagonravov,PERSON,was engineer,be engineer,designer,http://www.wikidata.org/entity/Q5322166,Profession,Aleksandr Aleksandrovich Blagonravov ( ; 24 May 1933 – 1 January 2020 ) was a Soviet and Russian military engineer and designer who worked on the designs of armoured vehicles .
66317619,editor,http://www.wikidata.org/entity/Q23016178,Profession,recipient of,recipient of,guggenheim fellowship,http://www.wikidata.org/entity/Q1316544,Award,"The recipient of a Guggenheim Fellowship , he held the editor position at both "" Nutrition Reviews "" and the "" Annual Review of Nutrition "" ."
56720227,kitov,Kitov,PERSON,is creator of,be creator of,language,http://www.wikidata.org/entity/Q36848,Language,A. Kitov is the creator of two algorithmic programming languages - ALGEM and NORMIN .
53837175,shore,http://www.wikidata.org/entity/Q34139,Language,was american scholar at,be american scholar at,school,http://www.wikidata.org/entity/Q98399111,Language,Dorothy Shore Zinberg was an American scholar at Harvard Kennedy School and an Elected Fellow of the American Association for the Advancement of Science .
412419,braddock,Braddock,PERSON,be,be,ultimates,Ultimates,PRODUCT,Dr. Jamie Braddock is revealed to be the new Captain Britain in the Ultimates .
37067,dutch,Dutch,NORP,asked,ask,university,http://www.wikidata.org/entity/Q917874,Language,"It is in fact remarkable that only "" because of circumstances beyond our control "" the membership of Jews can no longer be maintained "" In May 2006 , the Dutch Nobel Prize winner Martinus Veltman who had written the foreword to the Rispen book , renounced the book 's description of Peter Debye , withdrew his foreword , and asked the Board of Directors of Utrecht University to rescind their decision to rename the Debye Institute ."
56562025,pioneer,http://www.wikidata.org/entity/Q13393921,Profession,is in,be in,paediatric,Paediatric,NORP,"In 1974 he received the Rosén von Rosenstein Medal of the Swedish Paediatric Association , named after the Swedish pioneer in paediatrics , Nils Rosén von Rosenstein ."
720155,doctor manhattan,http://www.wikidata.org/entity/Q2519257,Person,moves lantern,move lantern,alan scott,Alan Scott,PERSON,"On July 16 , 1940 , again , Doctor Manhattan moves the green lantern six inches out of his reach so that Alan Scott dies in the train accident and leaves no family behind , as the green lantern is passed through different locations ."
1932128,doctor,http://www.wikidata.org/entity/Q4618975,Profession,is,be,dc comics,DC Comics,ORG,Doctor Destiny is a supervillain appearing in American comic books published by DC Comics .
1357093,doctor,Doctor,ORG,is noted for,be note for,doctor,http://www.wikidata.org/entity/Q34358,Person,"The Seventh Doctor era is noted for the cancellation of "" Doctor Who "" after 26 years ."
16559,jean elaine,Jean Elaine,PERSON,is,be,american,American,NORP,Jean Elaine Grey is a fictional character appearing in American comic books published by Marvel Comics .
70631,humboldt,Humboldt,PERSON,has,have,kosmos,Kosmos,WORK_OF_ART,"Less well known in Germany is the atlas belonging to the German edition of the Cosmos "" Berghaus ' Physikalischer Atlas "" , better known as the pirated version by Traugott Bromme under the title "" Atlas zu Alexander von Humboldt 's Kosmos "" ( Stuttgart 1861 ) ."
1080745,tonegawa,http://www.wikidata.org/entity/Q108602,Person,also served as,also serve as,director,http://www.wikidata.org/entity/Q2824523,Profession,Tonegawa also served as Director of the RIKEN Brain Science Institute from 2009 to 2017 .
215430,pupin,Pupin,ORG,personally wrote,personally write,america,http://www.wikidata.org/entity/Q30,Country,"In a difficult situation during the negotiations on the borders of Yugoslavia , Pupin personally wrote a memorandum on 19 March 1919 to American president Woodrow Wilson , who , based on the data received from Pupin about the historical and ethnic characteristics of the border areas of Dalmatia , Slovenia , Istria , Banat , Međimurje , Baranja and Macedonia , stated that he did not recognize the London agreement signed between the allies and Italy ."
53750692,doctor,http://www.wikidata.org/entity/Q4618975,Award,replace,replace,doctor,Doctor,WORK_OF_ART,"Producer John Nathan - Turner later discussed the possibility of casting a woman as the Sixth Doctor to replace the departing Peter Davison 's Fifth Doctor , claiming it was feasible but not something he was considering at the moment ."
69067989,gregory,Gregory,PERSON,was born in,be bear in,massachusetts,http://www.wikidata.org/entity/Q56519,Language,"Gregory was born in Princeton , Massachusetts , the daughter of David Josiah Gregory and Emily Dupuy Skinner Gregory ."
65667351,tsukuba university,Tsukuba University,ORG,is in,be in,japan,Japan,GPE,"Born in Chancay in Peru , Morikawa has a master 's degree in Interdisciplinary Biodiplomacy and a doctorate in Environmental Sciences from Tsukuba University in Japan ."
5516258,nefarious,Nefarious,PERSON,learns,learn,orvus,Orvus,PRODUCT,"Though Orvus remains defiant and escapes , Nefarious learns that Clank is the key to accessing the Clock ."
736,einstein,Einstein,PERSON,became,become,director,http://www.wikidata.org/entity/Q1162163,Profession,"In 1917 , Einstein became director of the Kaiser Wilhelm Institute for Physics ; he also became a German citizen again , this time Prussian ."
736,institute,Institute,ORG,was established with,be establish with,director,http://www.wikidata.org/entity/Q5280518,Profession,"The institute was established on 1 October 1917 , with Einstein as its director ."
22817016,lehrer,Lehrer,PERSON,appears according,appear accord,fresno state,Fresno State,ORG,"As of March 2015 , Lehrer appears to be offering a repeating form of apologia for his misconduct , at student fora , for which he is reported to not be receiving honoraria , according to a report in the Fresno State University student publication , "" The Collegian "" ; at one such forum at Fresno State , Lehrer stated that his large workload led to "" very serious mistakes ."
16559,jean grey,http://www.wikidata.org/entity/Q108366195,Person,first becomes,first become,phoenix,Phoenix,PERSON,Jean ends up sent back in time for unknown reasons and ends up meeting that timeline 's Jean Grey shortly after she first becomes Phoenix .
61972444,brundle,Brundle,ORG,known as,know as,brundle,Brundle,PERSON,"Dr. Seth Brundle , also known as Brundlefly , is a fictional character and the anti-villain protagonist in David Cronenberg 's 1986 remake of "" The Fly "" ."
62414912,prozialeck,Prozialeck,ORG,is,be,american,American,NORP,"Walter Charles Prozialeck ( born August 18 , 1952 ) is an American biomedical educator and scientist ."
51728610,miller,http://www.wikidata.org/entity/Q694116,Profession,co-director of,co-director of,kavli institute for discovery neuroscience,Kavli Institute for Discovery Neuroscience,ORG,"In 2015 , Miller became the co-director of the newly established Kavli Institute for Discovery Neuroscience ."
14573,guide,http://www.wikidata.org/entity/Q1039099,Profession,examples,example,asimov,http://www.wikidata.org/entity/Q34981,Person,"Examples include "" Guide to Science "" , the three - volume set "" Understanding Physics "" , and "" Asimov 's Chronology of Science and Discovery "" ."
26564527,doctor,Doctor,WORK_OF_ART,dove,dove,gallifrey,Gallifrey,PRODUCT,"As "" The Gallifrey Chronicles "" ended , the Doctor , Fitz , and Trix dove into the Vore mountain , the Doctor equipped with a plan to stop the Vore and save the world ."
1528421,giganta,Giganta,PERSON,is member of,be member of,injustice league,Injustice League,ORG,Giganta is a member of the new Injustice League and she is one of the villains featured in the Salvation Run .
24356984,yukon,Yukon,GPE,serve as,serve as,director,http://www.wikidata.org/entity/Q2824523,Profession,"In the wake of the 1989 Exxon Valdez oil spill , Treadwell left Yukon and went to Cordova , Alaska , to serve as the city 's director of spill response ."
562896,title,http://www.wikidata.org/entity/Q4121104,Award,believing,believe,stage magician,http://www.wikidata.org/entity/Q15855449,Profession,"In the first issue of Grant Morrison 's "" Seven Soldiers : Zatanna "" miniseries , Dr. Thirteen is said to have been dating the title character , believing her to be just a very talented stage magician ."
1788497,broers,Broers,PERSON,master of,master of,cambridge,Cambridge,GPE,"Broers subsequently became Master of Churchill College , Cambridge ( 1990 – 96 ) and Head of the Cambridge University Engineering Department ( 1993 – 96 ) ."
24832687,geologist,http://www.wikidata.org/entity/Q520549,Profession,served as,serve as,office,http://www.wikidata.org/entity/Q7810129,Award,"A geologist , Gelabert also served as Director of the Caribbean Office for the United States Environmental Protection Agency from 1985 to 1992 ."
70631,humboldt,Humboldt,PERSON,even started on,even start on,mexico,http://www.wikidata.org/entity/Q96,Country,"Even before Humboldt and Bonpland started on their way to New Spain 's capital on Mexico 's central plateau , Humboldt realized the captain of the vessel that brought them to Acapulco had reckoned its location incorrectly ."
56352084,russia,http://www.wikidata.org/entity/Q159,Country,was,be,russia,http://www.wikidata.org/entity/Q159,Country,"Anatoly Alexandrovich Nikulin ( ; August 21 , 1923 in Saratov , Soviet Union – October 14 , 1996 in Ryazan , Russia ) was a Russian pharmacologist , Doctor of Medical Sciences ."
26588324,professor,http://www.wikidata.org/entity/Q37226,Profession,assumed,assume,position,http://www.wikidata.org/entity/Q11488158,Award,"The result was the Indian Association for General Relativity and Gravitation ( IAGRG ) , and Professor V. V. Narlikar assumed the position of founder President ."
756418,luzhkov,Luzhkov,PERSON,returning,return,soviet,Soviet,NORP,"In 2002 , Luzhkov proposed returning to Lubyanka Square the fifteen ton iron statue of Felix Dzerzhinsky , founder of the Soviet Cheka ."
7732,professor x,http://www.wikidata.org/entity/Q105350971,Person,is,be,america,America,PERSON,Professor X. Professor X ( Charles Francis Xavier ) is a fictional character appearing in American comic books published by Marvel Comics .
14573,asimov,Asimov,PERSON,was american,be american,chemist,http://www.wikidata.org/entity/Q593644,Profession,"Isaac Asimov ( ; 1920 – April 6 , 1992 ) was an American writer and professor of biochemistry at Boston University ."
10315,columbia,Columbia,ORG,established,establish,armstrong,Armstrong,PERSON,Columbia University established the Edwin Howard Armstrong Professorship in the School of Engineering and Applied Science in his memory .
7628156,ibrahim,Ibrahim,PERSON,later worked as,later work as,director,http://www.wikidata.org/entity/Q2824523,Profession,"Ibrahim was employed by British Telecom for a time , and later worked as the technical director for Cellnet , a subsidiary of British Telecom ."
519482,dickinson,Dickinson,ORG,lived at,live at,poplar hall,Poplar Hall,PERSON,Dickinson lived at Poplar Hall for extended periods only in 1776 – 77 and 1781 – 82 .
27302119,vulko,http://www.wikidata.org/entity/Q27907532,Person,later informs,later inform,atlantean,Atlantean,NORP,"Later , Vulko informs the Atlantean guards that he wants to see Aquaman immediately upon his return , because he was afraid that the "" unspecified being "" is the Dead King , the first King of Atlantis ."
64489016,mammadov,Mammadov,ORG,became,become,academy of sciences,http://www.wikidata.org/entity/Q414147,Scientific Society,Khudu Mammadov became corresponding member of the Azerbaijani Academy of Sciences in 1976 .
38761997,margulova,Margulova,GPE,was awarded,be award,honorary doctorates,http://www.wikidata.org/entity/Q11415564,Award,Margulova was also awarded Honorary Doctorates from foreign universities : Budapest University of Technology and The Graduate School of Engineering in Zittau ( Germany ) .
7732,xavier,Xavier,FAC,luring in,lure in,x-men,X-Men,PRODUCT,"With the Shadow King certain of his victory , he fails to realize that Xavier 's apparent ' surrender ' to his game was really just him biding his time until the Shadow King 's influence was distracted long enough for him to drop his already - subtly - weakened guard long enough for Xavier to break his bonds , luring in the three aforementioned X-Men as their identities were already fundamentally malleable ."
58251088,position,http://www.wikidata.org/entity/Q11488158,Profession,is with,be with,ida grove,Ida Grove,GPE,"Upon graduation she was encouraged to take a position with the Unitarian church in Ida Grove , Iowa ."
80990,hellenes,Hellenes,PERSON,overran,overrun,chief,http://www.wikidata.org/entity/Q20920693,Profession,"The legend of Perseus beheading Medusa means , specifically , that "" the Hellenes overran the goddess 's chief shrines "" and "" stripped her priestesses of their Gorgon masks "" , the latter being apotropaic faces worn to frighten away the profane ."
44567022,chouinard,Chouinard,ORG,produce,produce,steel,http://www.wikidata.org/entity/Q2005691,Person,"That same year , Yvon Chouinard began to produce and sell alloy - steel pitons ."
3357517,barnet council,Barnet Council,ORG,approved,approve,architects,http://www.wikidata.org/entity/Q42973,Profession,"In August 2019 , Barnet Council approved The Light House scheme by architects Lipton Plant Architects at the corner of Sydney Road and Colney Hatch Lane , Muswell Hill , featuring an unusual ‘ shimmering void ’ as a tribute to Paul ."
22870643,gluckman,Gluckman,PERSON,was,be,new zealand,New Zealand,GPE,In June 2009 Gluckman was appointed as the first Chief Science Advisor to the Prime Minister of New Zealand .
26564527,paul mcgann,Paul McGann,PERSON,returned to,return to,eight,eight,CARDINAL,"Paul McGann first returned to his role as the Eighth Doctor in "" Storm Warning "" , the first in a series of audio plays ."
215430,physical laboratories,Physical Laboratories,ORG,is named,be name,pupin,Pupin,ORG,"Columbia University 's Physical Laboratories building , built in 1927 , is named Pupin Hall in his honor ."
21464314,lezama,Lezama,PERSON,was,be,director,http://www.wikidata.org/entity/Q2824523,Profession,"Dr. Lezama was the Director of the Centre for Demographic , Urban and Environmental Studies ( CEDUA ) of El Colegio de México ( 2003 - 2009 ) and Director of the Interdisciplinary Seminar on Environmental Studies at El Colegio de México ."
7732,magneto,Magneto,FAC,erected,erect,xavier,Xavier,PERSON,"After mutant Layla Miller restores the memories of some of the X-Men and Avengers , they head to Genosha where they discover that Magneto has erected a memorial garden for Xavier commemorating his death ."
54722620,gorseinon,Gorseinon,GPE,son of,son of,evan maddock,Evan Maddock,PERSON,"Ieuan Maddock was born in Gorseinon , Glamorganshire , Wales , the son of Evan Maddock , a miner , and his wife , a primary school teacher ."
453921,gustaf de laval,Gustaf de Laval,PERSON,was,be,academy of sciences,http://www.wikidata.org/entity/Q414147,Professional Society,Gustaf de Laval was a member of the Royal Swedish Academy of Sciences from 1886 .
32648335,abercromby,Abercromby,ORG,has,have,houston,Houston,GPE,"The NEEMO 14 mission was commanded by Chris Hadfield , Abercromby 's host on his first visit to Houston thirteen years earlier ."
56423139,eddie lecointe,Eddie LeCointe,PERSON,was figure of,be figure of,british,British,NORP,"Eddie LeCointe , her husband , was also a leading figure of the British Black Panther Movement ."
40795117,balsamo,Balsamo,GPE,attended,attend,school,http://www.wikidata.org/entity/Q98399111,Language,Balsamo attended graduate school at the University of Illinois at Urbana - Champaign where she earned her Ph.D. in Communications Research .
86655,korolev,Korolev,ORG,was born in,be bear in,russian,http://www.wikidata.org/entity/Q7737,Language,"Korolev was born in Zhytomyr , the capital of Volhynian Governorate of the Russian Empire ."
46725,dolphin,Dolphin,ORG,rescue,rescue,arion,Arion,PRODUCT,Some argue that the dolphins were sent by Apollo to rescue Arion .
5516258,nefarious,Nefarious,ORG,was,be,official,http://www.wikidata.org/entity/Q7079487,Profession,"Dr. Nefarious was listed as the sixth best videogame villain on PS3 by "" PlayStation Official Magazine "" ."
21230307,vladimir nicolayevich beneshevich,Vladimir Nicolayevich Beneshevich,PERSON,was born in,be bear in,russia,http://www.wikidata.org/entity/Q159,Country,"Vladimir Nicolayevich Beneshevich was born on August 9 , 1874 , in Druya , Vilna Governorate of the Russian Empire ( now Vitebsk Region in Belarus ) ."
64906640,maureen molloy,http://www.wikidata.org/entity/Q98381520,Person,was,be,degree,http://www.wikidata.org/entity/Q189533,Award,"In 2017 , the Maureen Molloy Prize in Clinical Neuropsychology was established at University of Melbourne as an award for the student with the highest average mark in the Master of Psychology ( Clinical Neuropsychology ) degree ."
14907770,clynes,Clynes,ORG,be,be,melbourne university,Melbourne University,ORG,"Reaching retirement age in Sydney , Clynes left to be professorial associate in the Psychology Department at Melbourne University and became Sugden Fellow at Queen 's College , which he had attended as an undergraduate ."
40525317,muller,Muller,PERSON,has appeared as,have appear as,correspondent,http://www.wikidata.org/entity/Q1155838,Profession,"Muller has also appeared as a correspondent on the Netflix web series "" Bill Nye Saves the World "" since 2017 ."
5969169,computer,http://www.wikidata.org/entity/Q11202952,Profession,was exhibited along,be exhibit along,computer,http://www.wikidata.org/entity/Q11202952,Profession,"Later in 1965 , Noll 's digital computer art was exhibited along with the analogue computer art of Maughan Mason at the Fall Joint Computer conference in Las Vegas ."
623926,noriega,Noriega,PERSON,was replaced by,be replace by,sellers,http://www.wikidata.org/entity/Q685433,Profession,"In July 2004 , Noriega was replaced by Piers Sellers on the crew of STS - 121 due to a temporary medical condition ."
36450041,auvergne,Auvergne,GPE,was,be,naval officer,http://www.wikidata.org/entity/Q10669499,Profession,Philippe d'Auvergne ( 13 November 1754 – 18 September 1816 ) was a British naval officer and the adopted son of Godefroy de La Tour d'Auvergne the sovereign Duke of Bouillon .
39627443,california,California,GPE,operate station as,operate station as,hawaiian,http://www.wikidata.org/entity/Q33569,Language,"He left California to operate the seismic station as a research associate at the Hawaiian Volcano Observatory from 1912 to 1917 , and while there prepared a report on the necessity for additional earthquake research in Southern California ."
70631,humboldt,Humboldt,GPE,was as,be as,official,http://www.wikidata.org/entity/Q3502546,Profession,Humboldt 's title for the expedition was as an official of the Department of Mines .
412419,braddock,http://www.wikidata.org/entity/Q2405949,Person,became,become,otherworld,Otherworld,PRODUCT,"For example , "" Crusader X Corps "" or the better known and most prevalent "" Captain Britain Corps "" , which is better known since Braddock became King of Otherworld ."
2062757,doctor,http://www.wikidata.org/entity/Q34358,Person,returns to,return to,gallifrey,Gallifrey,GPE,"Eventually , the Doctor returns to Gallifrey and declares himself Lord President , based on the election held during his previous visit ."
58595040,innovators,http://www.wikidata.org/entity/Q3492227,Profession,is in,be in,massachusetts,http://www.wikidata.org/entity/Q56519,Language,The Boston Globe selected him among the top innovators in Massachusetts and the Boston Business Journal selected him among the Health Care Champions for his innovations .
2198195,haskell,Haskell,PERSON,shortly suffering stroke in,shortly suffer stroke in,his 79th year,his 79th year,DATE,Haskell died shortly after suffering an incapacitating stroke in his 79th year .
29688374,galileo,http://www.wikidata.org/entity/Q307,Person,has,have,on motion,On Motion,WORK_OF_ART,"Galileo 's theoretical and experimental work on the motions of bodies , along with the largely independent work of Kepler and René Descartes , was a precursor of the classical mechanics developed by Sir Isaac Newton ."
60645118,hogue,Hogue,PERSON,attended,attend,university,http://www.wikidata.org/entity/Q917874,Language,"Hogue attended University of Wisconsin – Eau Claire , where she graduated in 1995 with a B.S. in Geology ."
2172663,basil hetzel,http://www.wikidata.org/entity/Q15504776,Person,also has,also have,hetzel,Hetzel,ORG,"In 2005 , the building for health sciences at the university 's City East campus was named the Basil Hetzel building and the campus library also has a Hetzel room which contains a collection of his research ."
31267785,degree,http://www.wikidata.org/entity/Q6008527,Award,is in,be in,reformed presbyterian,Reformed Presbyterian,NORP,"In the Reformed Presbyterian Church , admonition is the "" lowest "" degree of censure consisting "" in warning the offender of his guilt , and in exhorting him to walk circumspectly for the future . """
55617693,america,http://www.wikidata.org/entity/Q30,Country,of,of,gold medal award,Gold Medal Award,WORK_OF_ART,McCann was awarded the Archaeological Institute of America 's Gold Medal Award in 1998 and presented with a Festschrift at the ceremony .
736,university,http://www.wikidata.org/entity/Q917874,Language,is in,be in,israel,http://www.wikidata.org/entity/Q801,Country,"Einstein bequeathed his personal archives , library and intellectual assets to the Hebrew University of Jerusalem in Israel ."
70631,humboldt,Humboldt,ORG,was admitted to,be admit to,intellectual,http://www.wikidata.org/entity/Q58968,Profession,"In 1794 , Humboldt was admitted to the famous group of intellectuals and cultural leaders of Weimar Classicism ."
206211,summers,Summers,PERSON,became,become,harvard,Harvard,ORG,"Summers 's ties to Epstein reportedly began "" a number of years ... before Summers became Harvard ’s president and even before he was the Secretary of the Treasury . """
11055980,boslough,Boslough,ORG,arrive in,arrive in,chelyabinsk,Chelyabinsk,GPE,"Boslough was among the first western scientists to arrive in Chelyabinsk , where he did field research and accompanied a production crew filming Meteor Strike for "" Nova "" ."
1832144,spengler,Spengler,PERSON,is with,be with,ghostbuster,Ghostbuster,ORG,"In the episode "" Cry Uncle "" , Spengler 's well - meaning but skeptical uncle Cyrus , visits him and , since he does not believe that Spengler 's work with the Ghostbusters is real scientific work and therefore a waste of Spengler 's genius , tries to make him come back to Ohio ( where Spengler grew up ) to work at his uncle 's lab , but fortunately , after his uncle accidentally releases the Stay Puft Marshmallow Man from the containment unit , he realizes that ghosts are real and accepts Spengler 's work ."
13029367,director,http://www.wikidata.org/entity/Q3387717,Profession,is,be,approximately 650,approximately 650,CARDINAL,"The Directorate is the largest at Glenn with a workforce of approximately 650 engineers , technicians , pilots , and support personnel ."
14439096,curran,Curran,PERSON,was awarded degree from,be award degree from,university of strathclyde,http://www.wikidata.org/entity/Q1859178,Language,Joan Curran was awarded an honorary degree of Doctor of Letters from the University of Strathclyde in 1987 .
59999630,levin,Levin,PERSON,was,be,advisor,http://www.wikidata.org/entity/Q109554786,Profession,Levin was a postdoctoral fellow in the MIT Department of Biology under advisor Alan Grossman .
47497,comic,http://www.wikidata.org/entity/Q245068,Profession,ranks,rank,victor,http://www.wikidata.org/entity/Q18560095,Award,Comic Book Resources ranks Victor Von Doom as their fourth favorite Marvel character .
11114229,steele,http://www.wikidata.org/entity/Q2005691,Person,was appointed professor at,be appoint professor at,university of queensland,University of Queensland,ORG,On 20 December 1910 Steele was appointed professor of chemistry at the newly established University of Queensland .
163036,richardson,Richardson,PERSON,recorded,record,english,http://www.wikidata.org/entity/Q1860,Language,"Richardson also recorded some English Romantic poetry , including "" The Rime of the Ancient Mariner "" and poems by Keats and Shelley for the label ."
18598148,clarke,Clarke,PERSON,observed,observe,shore,http://www.wikidata.org/entity/Q34139,Language,"A year later , Clarke observed the salvage from the shore and the surface ."
69067989,gregory,Gregory,PERSON,died,die,massachusetts,Massachusetts,GPE,"Gregory died at a hospital in Holden , Massachusetts in 1954 , aged 74 years ."
44408938,artsrun hovhannisyan,http://www.wikidata.org/entity/Q16371031,Person,became,become,armenia,http://www.wikidata.org/entity/Q399,Country,"In 2012 , Artsrun Hovhannisyan became the press secretary of the Ministry of Defense of Armenia ."
